"Beauvais, Clémentine";"Die Königinnen der Würstchen.";"Carlsen";"978-3-551-55677-6";"GEB";"16.99 EUR";"21";"35.0";"478 g";" 2017;288 S.;220 mm;von 14-99 J.;";"250";""
"Khorana, Aditi";"Amrita. Am Ende beginnt der Anfang.";"Dressler Verlag GmbH";"978-3-7915-0056-0";"GEB";"17.99 EUR";"21";"35.0";"";" 2017;320 S.;210 mm;ab 14 J.;";"250";""
"Carlsson, Christoffer";"Weißzeit.";"Dressler Verlag GmbH";"978-3-7915-0059-1";"GEB";"14.99 EUR";"21";"35.0";"";" 2017;224 S.;203 mm;ab 14 J.;";"250";""
"Oppel, Kenneth";"Vom Suchen und Finden.";"Dressler Verlag GmbH";"978-3-7915-0040-9";"GEB";"18.99 EUR";"21";"35.0";"";" 2017;432 S.;210 mm;ab 14 J.;";"250";""
"Linker, Christian";"Der Schuss.";"DTV";"978-3-423-74027-2";"KT";"14.95 EUR";"21";"30.0";"";" 2017;256 S.;210 mm;Großformatiges Paperback. Klappenbroschur;von 14-99 J.;";"250";"Roman"
"Hoover, Colleen";"Nur noch ein einziges Mal.";"DTV";"978-3-423-74030-2";"KT";"14.95 EUR";"21";"30.0";"";" 2017;384 S.;210 mm;Großformatiges Paperback. Klappenbroschur;von 16-99 J.;";"250";"Roman"
"Demetrios, Heather";"Nalia, Tochter der Elemente - Der Jadedolch.";"DTV";"978-3-423-71747-2";"KT";"10.95 EUR";"21";"30.0";"";" 2017;480 S.;191 mm;von 14-16 J.;";"250";"Roman"
"Russo, Meredith";"Als ich ein Mädchen wurde.";"DTV";"978-3-423-71749-6";"KT";"10.95 EUR";"21";"30.0";"";" 2017;304 S.;191 mm;von 14-99 J.;";"250";"Roman"
"Abawi, Atia";"Der geheime Himmel Eine Geschichte aus Afghanistan.";"DTV";"978-3-423-71753-3";"KT";"9.95 EUR";"21";"30.0";"";" 2017;340 S.;191 mm;von 14-16 J.;";"250";"Roman"
"Herwig, Johannes";"Bis die Sterne zittern.";"Gerstenberg Verlag";"978-3-8369-5955-1";"GEB";"14.95 EUR";"21";"35.0";"";" 2017;240 S.;220.0 mm;ab 14 J.;";"250";""
"Heesen, Martha";"Fliegende Steine.";"Gerstenberg Verlag";"978-3-8369-5995-7";"GEB";"12.95 EUR";"21";"35.0";"";" 2017;160 S.;220.0 mm;ab 14 J.;";"250";""
"Koos, Meinderts";"Ich kann das Meer sehen.";"Jungbrunnen-Verlag";"978-3-7026-5917-2";"GEB";"14.95 EUR";"21";"35.0";"";" 2017;136 S.;21.3 cm;ab 14 J.;";"250";""
"Poznanski, Ursula";"Aquila.";"Loewe Verlag";"978-3-7855-8613-6";"KT";"16.95 EUR";"21";"30.0";"";" 2017;432 S.;210 mm;ab 14 J.;";"250";""
"Trunko, Emily";"Deine letzte Nachricht. Für immer..";"Loewe Verlag";"978-3-7855-8607-5";"GEB";"14.95 EUR";"21";"30.0";"";" 2017;224 S.;215 mm;ab 14 J.;";"250";""
"Olsberg, Karl";"Boy in a White Room.";"Loewe Verlag";"978-3-7855-8780-5";"KT";"14.95 EUR";"21";"30.0";"";" 2017;288 S.;210 mm;ab 14 J.;";"250";""
"Blount, Kelly Anne";"Ich komm dich holen, Schwester.";"Loewe Verlag";"978-3-7855-8497-2";"KT";"9.95 EUR";"21";"30.0";"";" 2017;192 S.;210 mm;ab 14 J.;";"250";""
"Poznanski, Ursula";"Aquila.";"Loewe Verlag";"978-3-7855-8613-6";"KT";"16.95 EUR";"21";"30.0";"";" 2017;432 S.;210 mm;ab 14 J.;";"250";""
"Brinkmann, Caroline";"Die Perfekten.";"Lübbe ONE in der Bastei Lübbe AG";"978-3-8466-0049-8";"GEB";"18.00 EUR";"21";"33.0";"";" 1. Aufl.;2017;608 S.;215 mm;für Jugendliche;";"250";""
"Kiely, Brendan";"The Last True Lovestory.";"Lübbe ONE in der Bastei Lübbe AG";"978-3-8466-0051-1";"GEB";"15.00 EUR";"21";"33.0";"";" 1. Aufl.;2017;288 S.;215 mm;für Jugendliche;";"250";""
"Friend, Natasha";"No. 9677 oder Wie mein Vater an fünf Kinder von sechs Frauen kam.";"Magellan";"978-3-7348-5029-5";"GEB";"17.00 EUR";"21";"35.0";"";" 2017;336 S.;22 cm;ab 13 J.;";"250";""
"Martin, Peer";"Winter so weit.";"Oetinger Taschenbuch";"978-3-8415-0398-5";"KT";"14.99 EUR";"21";"30.0";"";" 2017;560 S.;203 mm;Englisch Broschur;ab 14 J.;";"250";""
"Azoulai, Nathalie";"An Liebe stirbt man nicht.";"Secession Verlag für Literatur";"978-3-906910-16-1";"GEB";"23.00 EUR";"21";"35.0";"";" 2017;300 S.;Klappenbroschur. Mit Lesebändchen;";"111";""
"Zylberman, Ruth";"Vermisstenstelle.";"Secession Verlag für Literatur";"978-3-906910-18-5";"GEB";"20.00 EUR";"21";"35.0";"";" 2017;200 S.;Klappenbroschur. Mit Lesebändchen;";"111";""
