"Flanagan, Liz";"Eden Summer.";"Aladin";"978-3-8489-2093-8";"GEB";"14.95 EUR";"21";"30.0";"555 g";" 2017;368 S.;210 mm;ab 14 J.;";"250";""
"Parks, Kathy";"Echt mieser Zufall oder Wie ich einen Kuss wollte und beinahe dabei draufging.";"Arena";"978-3-401-60249-3";"GEB";"14.99 EUR";"";"35.0";"606 g";" 2017;328 S.;211.00 mm;Mit UV-Lackierung auf dem Cover;ab 14 J.;";"250";""
"Kacvinsky, Katie";"Maddie - Immer das Ziel im Blick.";"Baumhaus Medien";"978-3-8432-1098-0";"KT";"8.90 EUR";"21";"30.0";"";" 1. Aufl. 2017;2017;368 S.;186 mm;ab 14 J.;";"250";""
"Badey, Ada";"Strom auf der Tapete.";"Beltz";"978-3-407-82211-6";"KT";"12.95 EUR";"21";"33.0";"";" 2017;192 S.;20.7 cm;Klappenbroschur;ab 14 J.;";"250";"Roman"
"Summers, Courtney";"Außer sich.";"Beltz";"978-3-407-82216-1";"GEB";"16.95 EUR";"";"33.0";"581 g";" 2017;376 S.;14.3 x 21.3 cm;ab 14 J.;";"250";"Roman"
"Kordon, Klaus";"Joss oder Der Preis der Freiheit.";"Beltz";"978-3-407-74802-7";"KT";"8.95 EUR";"21";"33.0";"";" 2017;379 S.;18.7 cm;ab 14 J.;";"250";"Historischer Abenteuerroman"
"Dürig, Regina";"2 1/2 Gespenster.";"Beltz";"978-3-407-74804-1";"KT";"6.95 EUR";"";"33.0";"151 g";" 2017;139 S.;12.6 x 18.7 cm;ab 14 J.;";"250";"Roman"
"MacMillan, Kathy";"Feuer und Feder.";"Beltz";"978-3-407-74796-9";"GEB";"18.95 EUR";"21";"33.0";"";" 2017;496 S.;14.5 x 21.3 cm;ab 14 J.;";"250";""
"Corradini, Matteo";"Im Ghetto gibt es keine Schmetterlinge.";"cbj";"978-3-570-40355-6";"KT";"8.99 EUR";"21";"30.0";"";" 2017;288 S.;183 mm;von 12-99 J.;";"250";"Ein Roman über die Kinder von Theresienstadt"
"Wolitzer, Meg";"Was uns bleibt ist jetzt.";"cbt";"978-3-570-31147-9";"KT";"9.99 EUR";"21";"30.0";"";" 2017;384 S.;183 mm;von 14-99 J.;";"250";""
"Schwartz, Gesa";"Nacht ohne Sterne.";"cbt";"978-3-570-31150-9";"KT";"9.99 EUR";"21";"30.0";"";" 2017;544 S.;183 mm;von 14-99 J.;";"250";""
"Bruton, Catherine";"Drei Tage Wut.";"DTV";"978-3-423-74024-1";"KT";"14.95 EUR";"";"30.0";"382 g";" 2017;272 S.;210 mm;Klappenbroschur;von 14-99 J.;";"250";"Roman"
"Brooks, Kevin";"Kissing the Rain.";"DTV";"978-3-423-71737-3";"KT";"9.95 EUR";"21";"30.0";"";" 2017;416 S.;191 mm;von 14-99 J.;";"250";"Roman"
"Saenz, Benjamin A.";"Aristoteles und Dante entdecken die Geheimnisse des Universums.";"DTV";"978-3-423-71741-0";"KT";"9.95 EUR";"21";"30.0";"";" 2017;384 S.;191 mm;von 14-99 J.;";"250";"Roman"
"Sedgwick, Marcus";"Ghosts of Heaven.";"DTV";"978-3-423-65027-4";"KT";"16.95 EUR";"21";"30.0";"";" 2017;400 S.;210 mm;Klappenbroschur;von 14-16 J.;";"250";"Roman"
"Grevet, Yves";"NOX. Anderswo.";"DTV";"978-3-423-62656-9";"KT";"9.95 EUR";"24";"30.0";"";" 2017;336 S.;191 mm;von 12-14 J.;";"250";"Roman"
"Reynolds, Jason";"Coole Nummer.";"DTV";"978-3-423-62657-6";"KT";"9.95 EUR";"21";"30.0";"";" 2017;264 S.;191 mm;von 14-16 J.;";"250";"Als ich DER GRÖSSTE war"
"Fombelle, Timothée de";"Die wundersamen Koffer des Monsieur Perle.";"Gerstenberg Verlag";"978-3-8369-5879-0";"GEB";"18.95 EUR";"";"35.0";"530 g";" 2017;304 S.;220.0 mm;GB§Cover mit Prägung und Spotlack;ab 14 J.;";"250";""
"Günther, Herbert";"Der Widerspruch.";"Gerstenberg Verlag";"978-3-8369-5902-5";"GEB";"16.95 EUR";"";"35.0";"411 g";" 2017;272 S.;22 cm;GB§Schutzumschlag mit Lochstanzung;ab 14 J.;";"250";""
"Lu, Marie";"Young Elites - Die Gemeinschaft der Dolche.";"Loewe Verlag";"978-3-7855-8353-1";"GEB";"18.95 EUR";"";"30.0";"715 g";" 2017;416 S.;220 mm;ab 14 J.;";"250";""
"Trunko, Emily";"Ich wollte nur, dass du noch weißt ....";"Loewe Verlag";"978-3-7855-8608-2";"GEB";"14.95 EUR";"21";"30.0";"";" 2017;192 S.;m. Illustr. v. Lisa Congdon;215 mm;Mit Lesebändchen;ab 14 J.;";"250";"Nie verschickte Briefe"
"Scheuring, Christoph";"Echt.";"Magellan";"978-3-7348-8203-6";"KT";"9.00 EUR";"";"35.0";"225 g";" 2017;256 S.;19,5 cm;ab 14 J.;";"250";"Roman"
"Woolf, Marah";"Bookless - Wörter durchfluten die Zeit.";"Oetinger Taschenbuch";"978-3-8415-0486-9";"KT";"8.99 EUR";"21";"30.0";"";" 2017;312 S.;Englisch Broschur;ab 14 J.;";"250";""
"Thúy, Kim";"Die vielen Namen der Liebe.";"Verlag Antje Kunstmann";"978-3-95614-168-3";"GEB";"18.00 EUR";"21";"30.0";"";" 2017;150 S.;";"111";""
"Ortuño, Antonio";"Madrid, Mexico.";"Verlag Antje Kunstmann";"978-3-95614-165-2";"GEB";"20.00 EUR";"21";"30.0";"";" 2017;200 S.;";"111";""
"Ekinci, Yavuz";"Der Tag, an dem ein Mann vom Berg Amar kam.";"Verlag Antje Kunstmann";"978-3-95614-166-9";"GEB";"18.00 EUR";"21";"30.0";"280 g";" 2017;160 S.;201 mm;";"111";""
