"Caruth, Tilda";"Ich hab dich lieb, kleiner Kuschelfuchs!, Stoffbilderbuch.";"Arena";"978-3-401-71285-7";"NON";"14.99 EUR";"";"35.0";"84 g";" 2019;8 S.;310.00 mm;Stoffbuch mit Knisterfolie in den Ohren, Fühlnoppen an einem Ohr, Quietscher und Satinband. Untersch;ab 6 Mon.;";"210";""
"Bergmann, Barbara";"Alle Tiere sind schon da.";"Arena";"978-3-401-71389-2";"PP";"9.99 EUR";"";"30.0";"738 g";" 2019;40 S.;207.00 x 210.00 mm;Unzerr. Mit verschiedenen Prägungen und UV-Lackierung;ab 2 J.;";"210";"Kleine Vorlesegeschichten, Spiele und Lieder"
"Sahm, Nina";"Magische Reise. Im Wald.";"Dorling Kindersley";"978-3-8310-3702-5";"PP";"9.95 EUR";"";"35.0";"329 g";" 2019;10 S.;Mit Glanz- und Strukturelementen, formgestanzten Seiten und farbigen Illustrationen;230 mm;Mit Guckloch im Cover, Glanz- und Strukturelementen und Panorama-Stanzung (als Fühlelemente);ab 2 J.;";"210";"Pappbilderbuch mit Glanz- und Struktur-Elementen ab 2 Jahren"
"Kulot, Daniela";"Ich auch!.";"Gerstenberg Verlag";"978-3-8369-5684-0";"PP";"9.95 EUR";"";"35.0";"368 g";" 2019;30 S.;durchgehend farbig;155.0 x 220.0 mm;Unzerr.;ab 2 J.;";"210";""
"Królak, Agata";"Wie Bären so sind.";"Gerstenberg Verlag";"978-3-8369-5694-9";"PP";"9.95 EUR";"";"35.0";"348 g";" 2019;30 S.;durchgehend farbig;190.0 mm;Unzerr.;ab 2 J.;";"210";""
"Galloni, Elena";"Wer steckt unter dem Hut?.";"Gerstenberg Verlag";"978-3-8369-5692-5";"PP";"9.95 EUR";"";"35.0";"228 g";" 2019;18 S.;m. zahlr. bunten Bild. u. Klappen;195.0 mm;Unzerr.;ab 2 J.;";"210";""
"Berner, Rotraut Susanne";"Nacht-Wörterwimmelbuch.";"Gerstenberg Verlag";"978-3-8369-5699-4";"PP";"9.95 EUR";"21";"35.0";"";" 2019;14 S.;durchgehend farbig;275.0 mm;Unzerr., mit echter Buchdecke;ab 2 J.;";"210";"Mit arabischer Bildwörterleiste"
"Raecke, Renate";"Schnick Schnack Schabernack.";"Gerstenberg Verlag";"978-3-8369-5638-3";"GEB";"18.00 EUR";"";"35.0";"699 g";" 2019;144 S.;durchgehend farbig;245.0 mm;von 2-99 J.;";"230";"Das Hausbuch der Reime und Lieder für die Allerkleinsten"
"Carle, Eric";"Die kleine Raupe Nimmersatt - Mein großes Bildwörterbuch.";"Gerstenberg Verlag";"978-3-8369-5672-7";"GEB";"16.95 EUR";"";"35.0";"582 g";" 2019;80 S.;durchgehend farbig;280.0 mm;Cover mit Spotlack;ab 2 J.;";"220";""
"Müller, Thomas";"Tiere im Garten.";"Gerstenberg Verlag";"978-3-8369-5670-3";"PP";"12.95 EUR";"";"35.0";"401 g";" 2019;14 S.;m. zahlr. bunten Bild. u. 7 Klapp-S.;150.0 x 205.0 mm;Unzerr.;ab 2 J.;";"220";""
